PC_producto;procesador;discoduro;RAM;caracteristicas;tarjetaswifi_OS;precio
CyberpowerPCGamerXtremeVRGamingPC;Inteli5-10400F2.9GHz;GeForceGTX1660Super6GB;8GBDDR4;500GBNVMeSSD;WiFiReady&Win10Home(GXiVR8060A10);791
iBUYPOWERGamingPCDesktopElementMR9320;Inteli7-10700F2.9GHz;1TBHDD y 240GBSSD;16GBDDR4RAM;NVIDIAGTX1660Ti6GB;Wi-Filisto;1275
iBUYPOWERTrace-Computadoragamerdeescritorio;;;;;;699
AcerAspireTC-895-UA92Desktop;procesadorIntelCorei5-10400de6nucleos;512GBNVMeM.2SSD;12GB2666MHzDDR4 ;8XDVD;802.11axWi-Fi6;529
CyberpowerPCGamerSupremeLiquidCoolGamingPC;AMDRyzen73800X3.9GHz;1TBNVMeSSD;16GBDDR4;RadeonRX5700XT8GB ;WiFi&Win10Home(SLC8260A3);1229
SkytechArchangelGamingComputerPCDesktop;Ryzen536003.6GHz;500GBSSD;16GBDDR43000MHz;ventiladoresRGB;Windows10Home64bits;999
SkyTechBlazeII-Computadoradeescritorioparavideojuegos;Ryzen526006nucleos3.4GHz ;500GSSD;8GBDDR4;NVIDIAGeForceGTX1660TI6G;ACWiFi;829
HP22PCtodoenuno;procesadorAMDAthlonGold3150U;SSDde256GB;4GBdeRAM;pantallaantirreflejosFullHDIPSde21;;449
AcerAspireC24-963-UA91AIODesktop;IntelCorei3-1005G1;512GBNVMeM.2SSD;8GBDDR4 ;pantallaFullHD;;579
LenovoIdeaCentreAIO3;"24""All-in-OneOrdenadorTodo-en-UnoAMDRyzen54500UProcesadorMóvil";512GBM.2NombreSSD;16GBDDR4;GraficosIntegrados ;DVDRWDrive;684
SkytechShivaGamingPCDesktop;AMDRyzen52600;500GSSD;16GBDDR4 ;NVIDIARTX2060;;999
OMEN30LGamingDesktopPC;procesadorIntelCorei9-10850K;SSDde1TBydiscodurode2TB ;32GBRAM;NVIDIAGeForceRTX3080tarjetagrafica ;Windows10Home(GT13-0092;2922
DellInspironDesktop3880;IntelCorei510thGen;512GBSolidStateDrive;12GBMemory;win10;colornegro;649
AcerChromeboxCXI3-UA91MiniPC;IntelCeleron3867UProcessor1.8GHz;128GBM.2SSD;4GBDDR4-Memory ;USBType-C;802.11acWi-Fi5 ;236
NuevosobremesaparajuegosAlienwareAuroraR10;AMDRyzen73700X y AMDRadeonRX5700XT;512GBSSD+1TBHDD;8GBGDDR6 y 16GB;;Windows10Home;1557
LenovoIdeaCentreAIO3;AMDRyzen34300UMobileProcessor;256GBM.2NameSSD;8GBDDR4;GraficosIntegrados ;DVDRWDrive;580
